Spout_wait,Spliters,Counters,Throughput+,Latency-
1,1,1,8006.2,419.16
1,1,2,10818.0,316.58
1,1,3,11601.0,286.42
1,1,4,11537.0,292.69
1,1,5,12999.0,237.04
1,1,6,12285.0,288.02
1,1,7,12032.0,275.01
1,1,8,13630.0,228.6
1,1,9,12168.0,268.84
1,1,10,13055.0,247.74
1,1,11,14500.0,229.24
1,1,12,12239.0,263.31
1,1,13,12596.0,260.77
1,1,14,15891.0,198.18
1,1,15,13164.0,244.6
1,1,16,12781.0,250.88
1,1,17,16487.0,191.92
1,1,18,12962.0,253.55
1,2,1,8587.7,377.76
1,2,2,11514.0,283.68
1,2,3,12493.0,261.6
1,2,4,14253.0,247.47
1,2,5,14658.0,247.88
1,2,6,14244.0,240.76
1,2,7,15192.0,214.55
1,2,8,16267.0,241.35
1,2,9,15377.0,217.16
1,2,10,16738.0,221.13
1,2,11,16819.0,213.84
1,2,12,15830.0,208.02
1,2,13,16286.0,186.2
1,2,14,17417.0,206.11
1,2,15,16529.0,206.59
1,2,16,18331.0,198.49
1,2,17,18839.0,193.46
1,2,18,15819.0,197.37
1,3,1,7905.6,416.37
1,3,2,11995.0,284.51
1,3,3,13484.0,246.75
1,3,4,14334.0,248.43
1,3,5,14845.0,232.94
1,3,6,14644.0,240.27
1,3,7,16029.0,254.05
1,3,8,16550.0,225.83
1,3,9,17202.0,205.13
1,3,10,17784.0,189.72
1,3,11,17484.0,196.27
1,3,12,18268.0,200.34
1,3,13,18222.0,199.7
1,3,14,17396.0,220.63
1,3,15,19206.0,177.95
1,3,16,18801.0,194.37
1,3,17,19818.0,185.14
1,3,18,18647.0,209.34
1,4,1,8297.3,386.33
1,4,2,11975.0,282.78
1,4,3,13958.0,241.05
1,4,4,14204.0,250.52
1,4,5,15173.0,254.59
1,4,6,15596.0,221.13
1,4,7,15648.0,228.73
1,4,8,16533.0,212.25
1,4,9,15607.0,205.96
1,4,10,17669.0,197.21
1,4,11,17728.0,204.74
1,4,12,18493.0,194.98
1,4,13,18710.0,179.83
1,4,14,17538.0,188.25
1,4,15,18404.0,192.67
1,4,16,17685.0,211.49
1,4,17,19895.0,181.35
1,4,18,18807.0,189.21
1,5,1,8381.5,402.22
1,5,2,11395.0,285.58
1,5,3,13665.0,247.65
1,5,4,14629.0,253.32
1,5,5,14958.0,230.14
1,5,6,15394.0,224.92
1,5,7,15979.0,201.95
1,5,8,15568.0,227.4
1,5,9,17086.0,205.78
1,5,10,18338.0,207.11
1,5,11,17640.0,200.79
1,5,12,18590.0,193.02
1,5,13,18384.0,230.66
1,5,14,17701.0,193.79
1,5,15,19350.0,217.33
1,5,16,19524.0,195.03
1,5,17,20391.0,176.12
1,5,18,19409.0,194.12
1,6,1,8439.5,391.66
1,6,2,11370.0,282.9
1,6,3,13978.0,239.83
1,6,4,14036.0,236.23
1,6,5,14816.0,248.53
1,6,6,15571.0,221.22
1,6,7,14952.0,211.67
1,6,8,16616.0,217.77
1,6,9,17646.0,210.41
1,6,10,18354.0,189.74
1,6,11,18004.0,219.26
1,6,12,18961.0,176.39
1,6,13,17982.0,185.49
1,6,14,18238.0,206.1
1,6,15,19629.0,189.2
1,6,16,19256.0,200.02
1,6,17,20024.0,176.57
1,6,18,19152.0,183.64
2,1,1,8337.3,394.28
2,1,2,11726.0,287.88
2,1,3,12804.0,250.71
2,1,4,12507.0,260.97
2,1,5,13998.0,218.03
2,1,6,12043.0,254.55
2,1,7,12766.0,255.09
2,1,8,14679.0,221.0
2,1,9,13015.0,254.37
2,1,10,13940.0,226.85
2,1,11,16112.0,198.53
2,1,12,13566.0,240.13
2,1,13,13554.0,237.44
2,1,14,16567.0,199.75
2,1,15,13883.0,240.04
2,1,16,14072.0,225.86
2,1,17,16256.0,194.45
2,1,18,13858.0,243.6
2,2,1,9093.2,355.89
2,2,2,11914.0,274.71
2,2,3,12954.0,255.64
2,2,4,14545.0,220.19
2,2,5,14916.0,228.45
2,2,6,14743.0,241.03
