n_estimators,max_depth,mse
1,1,0.008980655416511803
2,1,0.00783501357677115
3,1,0.007472302949592969
4,1,0.0079888121064298
5,1,0.007832759471321617
6,1,0.00770290168543136
7,1,0.007825328921195059
8,1,0.007928531835358904
9,1,0.007745284302990319
10,1,0.007634056254144475
11,1,0.007583182083921034
12,1,0.007427430261519742
13,1,0.007496629300660851
14,1,0.0074448764169124295
15,1,0.007313867552203539
16,1,0.007370297858524055
17,1,0.007428593149217772
18,1,0.007458759100379329
19,1,0.007574722756880443
20,1,0.007402452092927153
21,1,0.007334882835448911
22,1,0.007351651404544401
23,1,0.007406048396047035
24,1,0.007361595352758167
25,1,0.007340584114267788
26,1,0.007383342535375978
27,1,0.0073860012930053506
28,1,0.0073903720618542865
29,1,0.0074345169752407115
30,1,0.007468583041727714
31,1,0.007513046130686478
32,1,0.007545644161627383
33,1,0.007357828389724954
34,1,0.007378854978671493
35,1,0.00746984676902514
36,1,0.007393492275597032
37,1,0.007417931807966134
38,1,0.007330634580151188
39,1,0.007265001060861569
40,1,0.007137756837138151
41,1,0.007102367525977923
42,1,0.007117304511890303
43,1,0.007159455144865828
44,1,0.007175908649525296
45,1,0.007205243915797024
46,1,0.007229362864001443
47,1,0.007188760215700254
48,1,0.007142013027361555
49,1,0.0071501801771946425
50,1,0.007126372100739289
51,1,0.007130153410844331
52,1,0.007091435512116922
53,1,0.007104197083455355
54,1,0.007115098928081073
55,1,0.007119877333211098
56,1,0.007162682495783201
57,1,0.007198756945612292
58,1,0.007237169272376826
59,1,0.007234686099143557
60,1,0.007238590022860718
61,1,0.007229869434795668
62,1,0.007256188104160264
63,1,0.0072631487438964805
64,1,0.0072680392087742015
65,1,0.007285219260683124
66,1,0.00725788549157913
67,1,0.007261431076710241
68,1,0.00726617434691355
69,1,0.007281567522246074
70,1,0.007298021209223234
71,1,0.007308564844898724
72,1,0.007345525865603969
73,1,0.0073465291610332285
74,1,0.007362496788493303
75,1,0.007370539987090225
76,1,0.007395978045793204
77,1,0.007387207524864543
78,1,0.0073500555099791885
79,1,0.007358495683557914
80,1,0.007379439943823507
81,1,0.007383493784816385
82,1,0.007392711666382326
83,1,0.007405593315340735
84,1,0.007424930138143672
85,1,0.00743172916823467
86,1,0.0074619798261075536
87,1,0.007459809892952845
88,1,0.007468939845852948
89,1,0.0074791472780317315
90,1,0.0074784042769778635
91,1,0.007477984116730931
92,1,0.0074899406758435275
93,1,0.007478076677486517
94,1,0.00748346491211043
95,1,0.0074733227497650965
96,1,0.007474140106738849
97,1,0.007451354280182421
98,1,0.007465429986141704
99,1,0.007473073396331326
100,1,0.00744851579258895
1,2,0.006656453797028438
2,2,0.005529061653852406
3,2,0.004288959304185911
4,2,0.004354939612837815
5,2,0.004764151841474159
6,2,0.004570368947470486
7,2,0.004341750931265125
8,2,0.004208720857739231
9,2,0.004246339943715028
10,2,0.004517455371391654
11,2,0.004869803366524213
12,2,0.0046150330420817245
13,2,0.0047613042923978
14,2,0.004856494631648604
15,2,0.005007105781309151
16,2,0.004873493743686219
17,2,0.004958383729406455
18,2,0.00489198323013167
19,2,0.005024097165830258
20,2,0.005023574128944627
21,2,0.005188747356849361
22,2,0.005215160318074277
23,2,0.005116467050864105
24,2,0.0052104447111706986
25,2,0.005110634294222293
26,2,0.005020988231942489
27,2,0.0049767973361935815
28,2,0.0051554610841637915
29,2,0.005081547626172187
30,2,0.005043115408391412
31,2,0.004959885435053905
32,2,0.005029969617525995
33,2,0.005104968230533682
34,2,0.005055398370998019
35,2,0.004961267554471479
36,2,0.004961461224850434
37,2,0.004884968139321284
38,2,0.004774899313781008
39,2,0.004759347291690707
40,2,0.0048128318676078806
41,2,0.004860752116050183
42,2,0.004841308574732136
43,2,0.004881733562885824
44,2,0.004931210932182276
45,2,0.004953733227136967
46,2,0.004884668964008372
47,2,0.004935827825679103
48,2,0.004996382085395838
49,2,0.00514246623306682
50,2,0.00517134990022865
51,2,0.005180407934623547
52,2,0.0051973870202051955
53,2,0.005145791122416242
54,2,0.005093037909766523
55,2,0.005036623767556642
56,2,0.0050197163396099006
57,2,0.005076582996956656
58,2,0.0050402622325775685
59,2,0.005050815790097042
60,2,0.005038045858053826
61,2,0.0049844149214381215
62,2,0.005008803165511626
63,2,0.004948867217313236
64,2,0.004962010458523271
65,2,0.004931502151614526
66,2,0.004948264716529523
67,2,0.004912643392776214
68,2,0.00493445567395218
69,2,0.005013796404551999
70,2,0.00501095521781178
71,2,0.004960393539134485
72,2,0.004922573006582275
73,2,0.004956017894173955
74,2,0.004933395446121634
75,2,0.004887554368914539
76,2,0.004858167263571597
77,2,0.00486011850614131
78,2,0.004810783587139972
79,2,0.004810699370983365
80,2,0.004797049923174423
81,2,0.004824748793997615
82,2,0.004801656089847491
83,2,0.00478574013183283
84,2,0.0047786184378400065
85,2,0.0048430019594612565
86,2,0.004824108504178117
87,2,0.004797361888261897
88,2,0.004770647164864913
89,2,0.004759794589592167
90,2,0.00476309261583375
91,2,0.00477430755901539
92,2,0.00475440398188523
93,2,0.004757418211239282
94,2,0.0047360391611957955
95,2,0.004725669800792846
96,2,0.0047771967160729215
97,2,0.004733924764418152
98,2,0.0047526072996255525
99,2,0.004805660078170131
100,2,0.004807451165537541
1,3,0.007210581014655678
2,3,0.005633993825408349
3,3,0.0034520916517388643
4,3,0.0027967465359862356
5,3,0.0027283168204933032
6,3,0.002683691191975047
7,3,0.0023904691714994007
8,3,0.0024364413605619914
9,3,0.0025846868027555314
10,3,0.0027709380930985793
11,3,0.0029712383215415696
12,3,0.002831180037675696
