n_estimators,max_depth,mse
1,1,0.0048026588624569535
2,1,0.004807406383005753
3,1,0.004814613339447712
4,1,0.004809930289070719
5,1,0.00481649940413155
6,1,0.0048169818005649985
7,1,0.004816720932513875
8,1,0.0048148777537110185
9,1,0.004813369683299089
10,1,0.004813658463590284
11,1,0.004813225589955584
12,1,0.004813252244039201
13,1,0.004812869428661832
14,1,0.004814246095765459
15,1,0.004813455427399118
16,1,0.0048134176619402036
17,1,0.004812997883434161
18,1,0.004812591094902028
19,1,0.004811707234675211
20,1,0.00481191440469445
21,1,0.004814558564668273
22,1,0.004815339395053242
23,1,0.004814437568592688
24,1,0.004813861251840129
25,1,0.0048130574267123685
26,1,0.004812927942763458
27,1,0.004812741842669973
28,1,0.004814246143203032
29,1,0.004814033684515835
30,1,0.004813563552383488
31,1,0.004812870413645907
32,1,0.004813054578793844
33,1,0.00481426353415763
34,1,0.004813394437561963
35,1,0.004812770588364339
36,1,0.0048131314478725784
37,1,0.004813488120701049
38,1,0.004813471028748504
39,1,0.004813491469802555
40,1,0.0048134746263530145
41,1,0.004813314714746977
42,1,0.004813238204978601
43,1,0.004812769366466834
44,1,0.004812893189038681
45,1,0.0048134999825834475
46,1,0.004813368917101122
47,1,0.004813462587961133
48,1,0.004813420158551723
49,1,0.004813628522848976
50,1,0.0048143620117323815
51,1,0.004814500369819894
52,1,0.004814309369253785
53,1,0.00481401690611436
54,1,0.004813787826222763
55,1,0.004814869642303021
56,1,0.004814628394049147
57,1,0.00481464348378424
58,1,0.004814663962536944
59,1,0.004815031859638189
60,1,0.004814786494074245
61,1,0.004814575979450522
62,1,0.004814136295970365
63,1,0.004813888017445072
64,1,0.004813633525120444
65,1,0.004813491975292216
66,1,0.004813411091968854
67,1,0.004813237735330476
68,1,0.004812710717770255
69,1,0.004812553391791085
70,1,0.004812941937880506
71,1,0.004812639109893334
72,1,0.00481260376223434
73,1,0.004812516345305337
74,1,0.004812259749502221
75,1,0.0048120604613311815
76,1,0.004811868885292587
77,1,0.00481176948411797
78,1,0.004811902346600829
79,1,0.0048117081060945
80,1,0.004811788800094279
81,1,0.004811601488050469
82,1,0.004811847168800922
83,1,0.0048119053835093805
84,1,0.00481190649747785
85,1,0.004811854158654213
86,1,0.004811866790676769
87,1,0.004812234449984128
88,1,0.0048125503961297484
89,1,0.004812445828539003
90,1,0.004812667367583893
91,1,0.004812533518400267
92,1,0.004812493335872315
93,1,0.004812389741163602
94,1,0.004812403583615033
95,1,0.004812327309915881
96,1,0.004812700542542877
97,1,0.004812615781940035
98,1,0.00481302726002329
99,1,0.0048128912273173565
100,1,0.004813335574995144
1,2,0.0048228200472596565
2,2,0.004810879033567031
3,2,0.004810019923823157
4,2,0.004809429026003416
5,2,0.004821290619760298
6,2,0.004818967106830466
7,2,0.004821900726912377
8,2,0.00482049122537036
9,2,0.004820056370959292
10,2,0.004822242397032169
11,2,0.004819894605610861
12,2,0.004818856559762728
13,2,0.0048168230827351725
14,2,0.004816845477595046
15,2,0.0048177811837233145
16,2,0.00481562443079414
17,2,0.004815894995558446
18,2,0.004814720365485557
19,2,0.0048144970893989
20,2,0.004814332709085614
21,2,0.004816984119393102
22,2,0.004818026686237662
23,2,0.004816329432091005
24,2,0.0048155393197228825
25,2,0.004814328676362088
26,2,0.004814891383336419
27,2,0.004814637368069239
28,2,0.004814632876032542
29,2,0.004814607031625377
30,2,0.004813674881262263
31,2,0.004812358525634197
32,2,0.004812624337370076
33,2,0.004812396355102149
34,2,0.0048119094129723435
35,2,0.004811464165189232
36,2,0.004811219983637472
37,2,0.004811096113148433
38,2,0.004811077722398292
39,2,0.0048113101546531445
40,2,0.004811623384890056
41,2,0.0048117441501615765
42,2,0.004811685413139658
43,2,0.004810933977975485
44,2,0.00481178986427395
45,2,0.004811878509850479
46,2,0.004811827636436932
47,2,0.004811722087762327
48,2,0.004811141096160626
49,2,0.004811579344838771
50,2,0.004811506060591668
51,2,0.004811236285675176
52,2,0.0048112180763110425
53,2,0.004811314536405999
54,2,0.004811183586834802
55,2,0.004812402865421441
56,2,0.0048122958620583686
57,2,0.004812240865306108
58,2,0.00481280627839834
59,2,0.004812923276933681
60,2,0.0048127245277004875
61,2,0.00481246223384047
62,2,0.004811665898992841
63,2,0.0048119974863307146
64,2,0.004811964003970771
65,2,0.004812160142908053
66,2,0.004811902315389393
67,2,0.00481220143634001
68,2,0.004810955810515789
69,2,0.00481079270909496
70,2,0.004811593548303761
71,2,0.004811279170076672
72,2,0.004811297450002758
73,2,0.004811798770055441
74,2,0.004811708661339374
75,2,0.004811485038962705
76,2,0.004811379661208695
77,2,0.004811055517859994
78,2,0.004811371761143118
79,2,0.004810994352775772
80,2,0.004810845123502495
81,2,0.0048105169891992355
82,2,0.004810516324640039
83,2,0.004810412268279068
84,2,0.004810436945272037
85,2,0.0048105307527825745
86,2,0.004810292855831223
87,2,0.004810276479485653
88,2,0.004810702774535662
89,2,0.00481058655712193
90,2,0.00481059673769455
91,2,0.004810559329052981
92,2,0.004810690905420456
93,2,0.004810822138602551
94,2,0.004810705044683501
95,2,0.004810942539391332
96,2,0.004811137481953655
97,2,0.004811151252912772
98,2,0.004811604321969145
99,2,0.004811302237046043
100,2,0.004811647623061348
1,3,0.004869561271450193
2,3,0.004862958710977691
3,3,0.00482388417578558
4,3,0.004824186518000795
5,3,0.004839009575466102
6,3,0.004834372653194724
7,3,0.004836944933859901
8,3,0.004834541486396073
9,3,0.004832042780304801
10,3,0.004831179069127694
11,3,0.004826339805728449
12,3,0.004822038461980468
13,3,0.00481823431931112
14,3,0.0048185685414936525
15,3,0.004820743642743334
16,3,0.004820051705079663
17,3,0.0048193549021550396
18,3,0.004819177296126337
19,3,0.004817363022549302
20,3,0.004817906353496112
21,3,0.004820159124303198
22,3,0.0048198651768576566
23,3,0.004818334599776898
24,3,0.004819613739776319
25,3,0.004819284953034478
26,3,0.004819695131414938
27,3,0.004821618005933204
28,3,0.004817981991402226
29,3,0.004817560378277617
30,3,0.0048162480622568095
31,3,0.004816639975316832
32,3,0.00481634796950349
33,3,0.004815975886021981
34,3,0.004815760288474323
35,3,0.004814214489553524
36,3,0.004813160613204091
37,3,0.004813024142598206
38,3,0.0048127548466996295
39,3,0.004813120380023329
40,3,0.004813375879954237
41,3,0.004812691858441456
42,3,0.004812542556943727
43,3,0.0048115639433451134
44,3,0.0048126414554166925
45,3,0.004813126064427913
46,3,0.004813659757911672
47,3,0.004813212623142105
48,3,0.004812735518697898
49,3,0.004813663403822613
50,3,0.004813801622504359
51,3,0.004813774488735495
52,3,0.004814371151001636
53,3,0.004814155749456815
54,3,0.004814483980251868
55,3,0.004815190847875351
56,3,0.004814947028800725
57,3,0.00481531739116841
58,3,0.004815838434907112
59,3,0.0048155852022398965
60,3,0.004814475320612438
61,3,0.00481418093791547
62,3,0.00481362659110285
63,3,0.004814091652296086
64,3,0.004814260008756556
65,3,0.0048145043057923834
66,3,0.004814715656729582
67,3,0.004814857454036088
68,3,0.004814444608868993
69,3,0.0048141554951901
70,3,0.004815373540173476
71,3,0.004815409591168978
72,3,0.004814909205906701
73,3,0.004814595230484744
74,3,0.004814003808539052
75,3,0.004813872191618235
76,3,0.004813625701437229
77,3,0.0048133554806413315
78,3,0.004813711415721355
79,3,0.004812735912853763
80,3,0.004812453662640097
81,3,0.004812401510241366
82,3,0.004812026603761653
83,3,0.0048120572002728675
