n_estimators,max_depth,mse
1,1,0.004859978798318746
2,1,0.004854905396719612
3,1,0.00485437690030938
4,1,0.004854072445698936
5,1,0.0048533364107596405
6,1,0.004852691560173624
7,1,0.004852907324628585
8,1,0.004853086048101764
9,1,0.004853754267842913
10,1,0.004854844836365633
11,1,0.004855467737498656
12,1,0.004855184765251811
13,1,0.0048547996676517775
14,1,0.004854823677017443
15,1,0.004854724903784456
16,1,0.004854609101594843
17,1,0.004854919761543016
18,1,0.004855155391877007
19,1,0.004855071060500268
20,1,0.004854823993464895
21,1,0.004854763312232593
22,1,0.004854899243464187
23,1,0.004854763213556097
24,1,0.004855221290355247
25,1,0.004855044384505513
26,1,0.004855068310895334
27,1,0.004854969574530534
28,1,0.004855042482895416
29,1,0.004855524138393877
30,1,0.004855570005887622
31,1,0.004855484015827499
32,1,0.004855318350083926
33,1,0.004855206638611772
34,1,0.004855175883611056
35,1,0.004854974351999379
36,1,0.004855131102646193
37,1,0.0048551955571896396
38,1,0.004855062762313553
39,1,0.0048548880267762955
40,1,0.0048547886001753275
41,1,0.004854842825547049
42,1,0.004854855936761565
43,1,0.004847137440012108
44,1,0.004847371218123055
45,1,0.004847571166824823
46,1,0.004847752266899639
47,1,0.004847979786845837
48,1,0.004848140919458227
49,1,0.004848230447667094
50,1,0.004848211393100633
51,1,0.004842055049782506
52,1,0.004842213871959569
53,1,0.004842473030182459
54,1,0.004842777318401082
55,1,0.0048429592654314
56,1,0.0048431796511003685
57,1,0.004843414887298972
58,1,0.004843670281964151
59,1,0.004843697620964042
60,1,0.0048438617643359804
61,1,0.00484399839503318
62,1,0.004844322260435846
63,1,0.004844503722108238
64,1,0.004844633705148217
65,1,0.0048448262186287444
66,1,0.00484494697214557
67,1,0.004845039004309328
68,1,0.004845176973555915
69,1,0.004845321429751853
70,1,0.004845423033330054
71,1,0.004845587512358502
72,1,0.0048456256691841604
73,1,0.00484582204627528
74,1,0.00484596562189186
75,1,0.004846063650616907
76,1,0.004846088996965609
77,1,0.004846172126646818
78,1,0.004846252673523776
79,1,0.004846387571423466
80,1,0.0048464759602006545
81,1,0.00484648476016622
82,1,0.004846536888594306
83,1,0.004846633828739868
84,1,0.004846757513419247
85,1,0.0048469031378659475
86,1,0.0048469789679686185
87,1,0.004847090309664282
88,1,0.004847148538702807
89,1,0.004847286769874876
90,1,0.004847372406133778
91,1,0.004847436002305706
92,1,0.0048475815267045004
93,1,0.00484765774028042
94,1,0.004847793288240278
95,1,0.004847837763725632
96,1,0.004847902987526114
97,1,0.004848015114219591
98,1,0.004848087748544505
99,1,0.004848102356479276
100,1,0.0048482436926724
1,2,0.004677559367689988
2,2,0.004673922027092423
3,2,0.004671770172743279
4,2,0.004672336319667841
5,2,0.004670686221639112
6,2,0.004627392795487283
7,2,0.00463250575838796
8,2,0.0046134804195924
9,2,0.004594771350706881
10,2,0.004599908067400702
11,2,0.004592527375550876
12,2,0.0045874167499201325
13,2,0.004590715623308821
14,2,0.0045871307043732785
15,2,0.004590655785434023
16,2,0.004585988288034352
17,2,0.004588663959690352
18,2,0.00459147168458609
19,2,0.004589297380416567
20,2,0.004591912753360729
21,2,0.004594427323361341
22,2,0.004592999621691131
23,2,0.004592085572999688
24,2,0.0045947245668802855
25,2,0.004589080716356766
26,2,0.004591166541323512
27,2,0.004590615581893257
28,2,0.004592857435554053
29,2,0.004589642015910558
30,2,0.004591655012087311
31,2,0.004593406419161651
32,2,0.00459498904005399
33,2,0.0045966935208323016
34,2,0.004598285916757103
35,2,0.004599866652519947
36,2,0.004596283940297244
37,2,0.0045977237613900965
38,2,0.004598923687641106
39,2,0.0046001808604814775
40,2,0.004601460027977709
41,2,0.004602747630013368
42,2,0.004603949858518459
43,2,0.004600101334127331
44,2,0.004601427422111587
45,2,0.00460270011484851
46,2,0.004603921991012583
47,2,0.004605122957667602
48,2,0.004606256800665516
49,2,0.004603186820625264
50,2,0.004600962399525562
51,2,0.004596858327413626
52,2,0.004593925732896029
53,2,0.004595124275593168
54,2,0.004596371111070233
55,2,0.004597434281644031
56,2,0.00459841819046471
57,2,0.004599550333757187
58,2,0.004600570046002389
59,2,0.004601450629772069
60,2,0.004602420814523789
61,2,0.004599802327967106
62,2,0.004600937268321769
63,2,0.004601821592367936
64,2,0.004602763065239952
65,2,0.0046036399296057375
66,2,0.004604549094053982
67,2,0.0046053151274937235
68,2,0.004606142338333238
69,2,0.004606918228224809
70,2,0.004606474322290099
71,2,0.00460726283093649
72,2,0.004605499476975594
73,2,0.004603230761214903
74,2,0.004604022416096436
75,2,0.00460475754857193
76,2,0.004605439575366413
77,2,0.004606112927991974
78,2,0.004606796868871587
79,2,0.004607479261142167
80,2,0.004608106645919157
81,2,0.004607558950627837
82,2,0.004608134795266062
83,2,0.0046087706766666054
84,2,0.0046067408485195626
85,2,0.00460533792861459
86,2,0.004603856331252269
87,2,0.0046020040691184165
88,2,0.004602590988531929
89,2,0.004602169303973926
90,2,0.0046028066114406005
91,2,0.004603410551409645
92,2,0.0046040795470498564
93,2,0.004604679304490506
94,2,0.004603130726733114
95,2,0.004603672586931438
96,2,0.004604281394167811
97,2,0.004604938450105685
98,2,0.004605509920592557
99,2,0.0046059758461180185
100,2,0.004606588021806585
1,3,0.004508985579121681
2,3,0.00446817169344401
3,3,0.004452136433317165
4,3,0.004448607559712358
5,3,0.004445822506598063
6,3,0.004446295829620805
7,3,0.004450134973838212
8,3,0.004440797418935756
9,3,0.004436723082690634
10,3,0.004445458434392244
11,3,0.004447313747940708
12,3,0.004449970919611639
13,3,0.004446642565718474
14,3,0.004437974591381408
15,3,0.004433561224376781
16,3,0.004434938121979712
17,3,0.004434881236024678
18,3,0.004433783611612655
19,3,0.004425869859705264
20,3,0.00442829706106837
21,3,0.004430864183702335
