n_estimators,max_depth,mse
1,1,0.0010928397386828958
2,1,0.001092031805418288
3,1,0.0010912238721536803
4,1,0.0010904159388890726
5,1,0.001089608005624465
6,1,0.0010888000723598573
7,1,0.0010879921390952495
8,1,0.0010871842058306417
9,1,0.0010863762725660342
10,1,0.0010855683393014264
11,1,0.0010847604060368187
12,1,0.001083952472772211
13,1,0.0010831445395076032
14,1,0.0010823366062429956
15,1,0.0010815286729783879
16,1,0.00108072073971378
17,1,0.0010799128064491723
18,1,0.0010791048731845646
19,1,0.001078296939919957
20,1,0.0010774890066553493
21,1,0.0010766810733907415
22,1,0.0010758731401261338
23,1,0.0010750652068615262
24,1,0.0010742572735969185
25,1,0.0010734493403323107
26,1,0.001072641407067703
27,1,0.0010718334738030952
28,1,0.0010710255405384876
29,1,0.0010702176072738799
30,1,0.0010694096740092721
31,1,0.0010686017407446644
32,1,0.0010677938074800568
33,1,0.001066985874215449
34,1,0.0010661779409508413
35,1,0.0010653700076862335
36,1,0.0010645620744216258
37,1,0.0010637541411570182
38,1,0.0010629462078924105
39,1,0.0010621382746278027
40,1,0.001061330341363195
41,1,0.0010605224080985872
42,1,0.0010597144748339797
43,1,0.001058906541569372
44,1,0.0010580986083047641
45,1,0.0010572906750401564
46,1,0.0010564827417755486
47,1,0.001055674808510941
48,1,0.0010548668752463333
49,1,0.0010540589419817256
50,1,0.0010532510087171178
51,1,0.0010524430754525103
52,1,0.0010516351421879025
53,1,0.0010508272089232947
54,1,0.001050019275658687
55,1,0.0010492113423940792
56,1,0.0010484034091294717
57,1,0.001047595475864864
58,1,0.0010467875426002562
59,1,0.0010459796093356484
60,1,0.0010451716760710409
61,1,0.001044363742806433
62,1,0.0010435558095418253
63,1,0.0010427478762772176
64,1,0.0010419399430126098
65,1,0.0010411320097480023
66,1,0.0010403240764833945
67,1,0.0010395161432187868
68,1,0.001038708209954179
69,1,0.0010379002766895712
70,1,0.0010370923434249637
71,1,0.001036284410160356
72,1,0.0010354764768957482
73,1,0.0010346685436311404
74,1,0.0010338606103665329
75,1,0.001033052677101925
76,1,0.0010322447438373173
77,1,0.0010314368105727096
78,1,0.0010306288773081018
79,1,0.0010298209440434943
80,1,0.0010290130107788865
81,1,0.0010282050775142788
82,1,0.001027397144249671
83,1,0.0010265892109850632
84,1,0.0010257812777204557
85,1,0.001024973344455848
86,1,0.0010241654111912402
87,1,0.0010233574779266324
88,1,0.0010225495446620249
89,1,0.0010217416113974171
90,1,0.0010209336781328094
91,1,0.0010201257448682016
92,1,0.0010193178116035938
93,1,0.0010185098783389863
94,1,0.0010177019450743785
95,1,0.0010168940118097708
96,1,0.001016086078545163
97,1,0.0010152781452805555
98,1,0.0010144702120159477
99,1,0.00101366227875134
100,1,0.0010128543454867322
1,2,0.0010842492927774026
2,2,0.001083441359512795
3,2,0.0010826334262481873
