n_estimators,max_depth,mse
1,1,0.0028803426030491676
2,1,0.002876661942197225
3,1,0.002872981281345283
4,1,0.002869300620493341
5,1,0.002865619959641399
6,1,0.0028619392987894567
7,1,0.0028582586379375147
8,1,0.0028545779770855727
9,1,0.0028508973162336307
10,1,0.0028472166553816882
11,1,0.002843535994529746
12,1,0.002839855333677804
13,1,0.002836174672825862
14,1,0.0028324940119739198
15,1,0.0028288133511219777
16,1,0.0028251326902700357
17,1,0.0028214520294180933
18,1,0.0028177713685661513
19,1,0.0028140907077142093
20,1,0.0028104100468622673
21,1,0.002806729386010325
22,1,0.002803048725158383
23,1,0.002799368064306441
24,1,0.002795687403454499
25,1,0.0027920067426025564
26,1,0.0027883260817506143
27,1,0.0027846454208986723
28,1,0.0027809647600467303
29,1,0.002777284099194788
30,1,0.002773603438342846
31,1,0.002769922777490904
32,1,0.002766242116638962
33,1,0.0027625614557870194
34,1,0.0027588807949350774
35,1,0.0027552001340831354
36,1,0.0027515194732311934
37,1,0.002747838812379251
38,1,0.002744158151527309
39,1,0.002740477490675367
40,1,0.002736796829823425
41,1,0.0027331161689714825
42,1,0.0027294355081195405
43,1,0.0027257548472675985
44,1,0.0027220741864156565
45,1,0.002718393525563714
46,1,0.002714712864711772
47,1,0.00271103220385983
48,1,0.002707351543007888
49,1,0.0027036708821559455
50,1,0.0026999902213040035
51,1,0.0026963095604520615
52,1,0.002692628899600119
53,1,0.002688948238748177
54,1,0.002685267577896235
55,1,0.002681586917044293
56,1,0.0026779062561923506
57,1,0.0026742255953404086
58,1,0.0026705449344884666
59,1,0.0026668642736365246
60,1,0.002663183612784582
61,1,0.00265950295193264
62,1,0.002655822291080698
63,1,0.002652141630228756
64,1,0.0026484609693768137
65,1,0.0026447803085248717
66,1,0.0026410996476729297
67,1,0.0026374189868209877
68,1,0.002633738325969045
69,1,0.002630057665117103
70,1,0.002626377004265161
71,1,0.0026226963434132188
72,1,0.0026190156825612767
73,1,0.0026153350217093347
74,1,0.0026116543608573927
75,1,0.0026079737000054507
76,1,0.0026042930391535083
77,1,0.0026006123783015663
78,1,0.0025969317174496243
79,1,0.002593251056597682
80,1,0.00258957039574574
81,1,0.002585889734893798
82,1,0.002582209074041856
83,1,0.0025785284131899133
84,1,0.0025748477523379713
85,1,0.0025711670914860293
86,1,0.0025674864306340873
87,1,0.002563805769782145
88,1,0.002560125108930203
89,1,0.002556444448078261
90,1,0.002552763787226319
91,1,0.0025490831263743764
92,1,0.0025454024655224344
93,1,0.0025417218046704924
94,1,0.0025380411438185504
95,1,0.002534360482966608
96,1,0.002530679822114666
97,1,0.002526999161262724
98,1,0.0025233185004107815
99,1,0.0025196378395588395
100,1,0.0025159571787068975
1,2,0.002861410277645216
2,2,0.0028577296167932734
3,2,0.0028540489559413314
4,2,0.0028503682950893894
5,2,0.0028466876342374474
6,2,0.002843006973385505
7,2,0.002839326312533563
8,2,0.002835645651681621
9,2,0.002831964990829679
10,2,0.0028282843299777365
11,2,0.0028246036691257945
12,2,0.0028209230082738524
