n_estimators,max_depth,mse
1,1,0.0016314511968484725
2,1,0.0016291384667842582
3,1,0.0016268257367200438
4,1,0.0016245130066558297
5,1,0.0016222002765916154
6,1,0.001619887546527401
7,1,0.0016175748164631869
8,1,0.0016152620863989725
9,1,0.0016129493563347582
10,1,0.001610636626270544
11,1,0.0016083238962063297
12,1,0.0016060111661421153
13,1,0.001603698436077901
14,1,0.0016013857060136868
15,1,0.0015990729759494725
16,1,0.0015967602458852581
17,1,0.001594447515821044
18,1,0.0015921347857568297
19,1,0.0015898220556926153
20,1,0.0015875093256284012
21,1,0.0015851965955641868
22,1,0.0015828838654999725
23,1,0.0015805711354357583
24,1,0.001578258405371544
25,1,0.0015759456753073296
26,1,0.0015736329452431153
27,1,0.0015713202151789011
28,1,0.0015690074851146868
29,1,0.0015666947550504724
30,1,0.0015643820249862583
31,1,0.001562069294922044
32,1,0.0015597565648578296
33,1,0.0015574438347936155
34,1,0.0015551311047294011
35,1,0.0015528183746651868
36,1,0.0015505056446009724
37,1,0.0015481929145367583
38,1,0.001545880184472544
39,1,0.0015435674544083296
40,1,0.0015412547243441154
41,1,0.001538941994279901
42,1,0.0015366292642156867
43,1,0.0015343165341514726
44,1,0.0015320038040872582
45,1,0.001529691074023044
46,1,0.0015273783439588295
47,1,0.0015250656138946154
48,1,0.001522752883830401
49,1,0.0015204401537661867
50,1,0.0015181274237019726
51,1,0.0015158146936377582
52,1,0.0015135019635735439
53,1,0.0015111892335093295
54,1,0.0015088765034451154
55,1,0.001506563773380901
56,1,0.001504251043316687
57,1,0.0015019383132524725
58,1,0.0014996255831882582
59,1,0.0014973128531240438
60,1,0.0014950001230598297
61,1,0.0014926873929956154
62,1,0.001490374662931401
63,1,0.0014880619328671869
64,1,0.0014857492028029725
65,1,0.0014834364727387582
66,1,0.0014811237426745438
67,1,0.0014788110126103297
68,1,0.0014764982825461153
69,1,0.001474185552481901
70,1,0.0014718728224176868
71,1,0.0014695600923534725
72,1,0.0014672473622892581
73,1,0.001464934632225044
74,1,0.0014626219021608297
75,1,0.0014603091720966153
76,1,0.0014579964420324012
77,1,0.0014556837119681868
78,1,0.0014533709819039725
79,1,0.0014510582518397581
80,1,0.001448745521775544
81,1,0.0014464327917113296
82,1,0.0014441200616471153
83,1,0.0014418073315829011
84,1,0.0014394946015186868
85,1,0.0014371818714544724
86,1,0.001434869141390258
87,1,0.001432556411326044
88,1,0.0014302436812618296
89,1,0.0014279309511976155
90,1,0.0014256182211334011
91,1,0.0014233054910691868
92,1,0.0014209927610049724
93,1,0.0014186800309407583
94,1,0.001416367300876544
95,1,0.0014140545708123296
96,1,0.0014117418407481154
97,1,0.001409429110683901
98,1,0.0014071163806196867
99,1,0.0014048036505554724
100,1,0.0014024909204912582
1,2,0.0016227731034114473
2,2,0.0016204603733472331
3,2,0.0016181476432830188
4,2,0.0016158349132188044
5,2,0.0016135221831545903
6,2,0.001611209453090376
7,2,0.0016088967230261616
8,2,0.0016065839929619474
9,2,0.001604271262897733
10,2,0.0016019585328335187
11,2,0.0015996458027693044
12,2,0.0015973330727050903
13,2,0.001595020342640876
14,2,0.0015927076125766616
15,2,0.0015903948825124474
16,2,0.001588082152448233
17,2,0.0015857694223840187
18,2,0.0015834566923198046
19,2,0.0015811439622555902
20,2,0.0015788312321913759
21,2,0.0015765185021271615
22,2,0.0015742057720629474
23,2,0.001571893041998733
24,2,0.0015695803119345187
25,2,0.0015672675818703046
26,2,0.0015649548518060902
27,2,0.0015626421217418758
28,2,0.0015603293916776617
29,2,0.0015580166616134474
30,2,0.001555703931549233
31,2,0.0015533912014850187
32,2,0.0015510784714208045
33,2,0.0015487657413565902
34,2,0.0015464530112923758
35,2,0.0015441402812281617
36,2,0.0015418275511639473
37,2,0.001539514821099733
38,2,0.0015372020910355188
39,2,0.0015348893609713045
40,2,0.0015325766309070901
41,2,0.001530263900842876
42,2,0.0015279511707786617
43,2,0.0015256384407144473
44,2,0.001523325710650233
45,2,0.0015210129805860188
46,2,0.0015187002505218045
47,2,0.0015163875204575901
48,2,0.001514074790393376
49,2,0.0015117620603291616
50,2,0.0015094493302649473
51,2,0.001507136600200733
52,2,0.0015048238701365188
53,2,0.0015025111400723044
54,2,0.0015001984100080903
55,2,0.001497885679943876
56,2,0.0014955729498796616
57,2,0.0014932602198154473
58,2,0.0014909474897512331
59,2,0.0014886347596870188
60,2,0.0014863220296228044
61,2,0.0014840092995585903
62,2,0.001481696569494376
63,2,0.0014793838394301616
64,2,0.0014770711093659472
65,2,0.001474758379301733
66,2,0.0014724456492375187
67,2,0.0014701329191733044
68,2,0.0014678201891090903
69,2,0.001465507459044876
70,2,0.0014631947289806616
71,2,0.0014608819989164474
72,2,0.001458569268852233
73,2,0.0014562565387880187
74,2,0.0014539438087238046
75,2,0.0014516310786595902
76,2,0.0014493183485953759
77,2,0.0014470056185311615
78,2,0.0014446928884669474
79,2,0.001442380158402733
80,2,0.0014400674283385187
81,2,0.0014377546982743046
82,2,0.0014354419682100902
83,2,0.0014331292381458758
84,2,0.0014308165080816615
85,2,0.0014285037780174474
86,2,0.001426191047953233
87,2,0.0014238783178890189
88,2,0.0014215655878248045
89,2,0.0014192528577605902
90,2,0.0014169401276963758
91,2,0.0014146273976321617
92,2,0.0014123146675679473
93,2,0.001410001937503733
94,2,0.0014076892074395188
95,2,0.0014053764773753045
96,2,0.0014030637473110901
97,2,0.0014007510172468758
98,2,0.0013984382871826617
99,2,0.0013961255571184473
100,2,0.001393812827054233
1,3,0.0016140950099744222
2,3,0.0016117822799102078
3,3,0.0016094695498459937
4,3,0.0016071568197817793
5,3,0.001604844089717565
6,3,0.0016025313596533506
7,3,0.0016002186295891365
8,3,0.0015979058995249222
9,3,0.0015955931694607078
10,3,0.0015932804393964937
11,3,0.0015909677093322793
12,3,0.001588654979268065
13,3,0.0015863422492038508
14,3,0.0015840295191396365
15,3,0.0015817167890754221
16,3,0.0015794040590112078
17,3,0.0015770913289469936
18,3,0.0015747785988827793
19,3,0.001572465868818565
20,3,0.0015701531387543508
21,3,0.0015678404086901365
22,3,0.001565527678625922
23,3,0.001563214948561708
24,3,0.0015609022184974936
25,3,0.0015585894884332793
26,3,0.0015562767583690651
27,3,0.0015539640283048508
28,3,0.0015516512982406364
29,3,0.001549338568176422
30,3,0.001547025838112208
31,3,0.0015447131080479936
32,3,0.0015424003779837792
33,3,0.001540087647919565
34,3,0.0015377749178553508
35,3,0.0015354621877911364
36,3,0.001533149457726922
37,3,0.001530836727662708
38,3,0.0015285239975984936
39,3,0.0015262112675342792
40,3,0.001523898537470065
